,Nazwa,Kod,Jm,Ilość,Cena net.,Wartość net.,Stawka,Asortyment,Kategoria,Podatek,Marża net.,Cena sprz,Producent,Opis 1,Opis 2,Opis 3,Opis 4,Ilość kg/l,Il. w opak. zbiorczym
,BATERIA SAMSUNG B2710,20005085,szt,"1,00","16,90","16,90",23 %,ZAMIENNIKI,,"3,89","11,56","28,46",,,,,,0,0
,BATERIA SAMSUNG G530/GRAND PRIME,20005122,szt,"1,00","11,38","11,38",23 %,ZAMIENNIKI,,"2,62","13,01","24,39",,,,,,0,0
,BATERIA SAMSUNG J5 2016,20005108,szt,"1,00","55,00","55,00",23 %,ZAMIENNIKI,,"12,65","8,41","63,41",,,,,,0,0
,BATERIA SAMSUNG J5 2017,20005160,szt,"1,00","16,90","16,90",23 %,ZAMIENNIKI,,"3,89","40,01","56,91",,,,,,0,0
,BATERIA SAMSUNG S6,20005153,szt,"1,00","24,00","24,00",23 %,ZAMIENNIKI,,"5,52","36,98","60,98",,,,,,0,0
,BATERIA SAMSUNG S7 EDGE,20005177,szt,"1,00","31,00","31,00",23 %,ZAMIENNIKI,,"7,13","38,11","69,11",,,,,,0,0
,BATERIA XIAOMI REDMI NOTE 4,20004804,szt,"1,00","20,33","20,33",23 %,ZAMIENNA,,"4,68","28,45","48,78",,,,,,0,0
,BLASZKA DO UCHWYTU,20006532,szt,"2,00","1,70","3,40",23 %,"BLASZKI , RINGI",,"0,78","12,86","14,56",,,,,,0,0
,FOLIA FLEXIBLE GLASS IPHONE XSMAX/11 PRO MAX/12 PRO MAX,20007829,szt,"1,00","11,00","11,00",23 %,FOLIA,,"2,53","45,10","56,10",,,,,,0,0
,FOLIA FLEXIBLE GLASS SAMSAUNG NOTE 10,20010850,szt,"1,00","21,00","21,00",23 %,FOLIA,,"4,83","35,10","56,10",,,,,,0,0
,FOLIA FLEXIBLE GLASS XIAOMI MI NOTE 10 LITE,20007836,szt,"1,00","21,00","21,00",23 %,FOLIA,,"4,83","35,10","56,10",,,,,,0,0
,FOLIA HUAWEI MATE 20 PRO,20000271,szt,"1,00","22,40","22,40",23 %,FOLIA,,"5,15","33,70","56,10",,,,,,0,0
,FOLIA HUAWEI P20,20010065,szt,"1,00","11,00","11,00",23 %,FOLIA,,"2,53","28,84","39,84",,,,,,0,0
,FOLIA HUAWEI P30,20000318,szt,"1,00","22,40","22,40",23 %,FOLIA,,"5,15","33,70","56,10",,,,,,0,0
,FOLIA HUAWEI P40 PRO,20000325,szt,"3,00","22,40","67,20",23 %,FOLIA,,"15,45","101,10","123,50",,,,,,0,0
,FOLIA IPHONE 13 MIMI,20011925,szt,"1,00","11,00","11,00",23 %,FOLIA,,"2,53","28,84","39,84",,,,,,0,0
,"FOLIA IPHONE 6 PLUS, 6S PLUS",20002572,szt,"4,00","22,40","89,60",23 %,FOLIA,,"20,60","134,80","157,20",,,,,,0,0
,FOLIA IPHONE 7/8 PLUS,20002800,szt,"1,00","15,01","15,01",23 %,FOLIA,,"3,45","24,83","39,84",,,,,,0,0
,FOLIA OPASKA XIAOMI MIBAND 4,20008925,szt,"2,00","12,50","25,00",23 %,FOLIA,,"5,76","31,92","44,42",,,,,,0,0
,FOLIA OPASKA XIAOMI MIBAND 5,20008932,szt,"2,00","4,44","8,88",23 %,FOLIA,,"2,04","48,04","52,48",,,,,,0,0
,FOLIA OPASKA XIAOMI MIBAND 6,20010393,szt,"1,00","4,44","4,44",23 %,FOLIA,,"1,02","24,02","28,46",,,,,,0,0
,FOLIA SAMSUNG A32,20011178,szt,"1,00","11,00","11,00",23 %,FOLIA,,"2,53","28,84","39,84",,,,,,0,0
,FOLIA SAMSUNG A9 2018,20001797,szt,"1,00","22,40","22,40",23 %,FOLIA,,"5,15","33,70","56,10",,,,,,0,0
,FOLIA SAMSUNG NOTE 9,20000332,szt,"2,00","22,40","44,80",23 %,FOLIA,,"10,30","67,40","89,80",,,,,,0,0
,FOLIA SAMSUNG S10,20007034,szt,"1,00","21,00","21,00",23 %,FOLIA,,"4,83","35,10","56,10",,,,,,0,0
,FOLIA SAMSUNG S10E,20000103,szt,"4,00","22,40","89,60",23 %,FOLIA,,"20,60","134,80","157,20",,,,,,0,0
,FOLIA SAMSUNG S20 PLUS,20000035,szt,"1,00","21,00","21,00",23 %,FOLIA,,"4,83","35,10","56,10",,,,,,0,0
,FOLIA SAMSUNG S20 ULTRA,20000011,szt,"1,00","21,00","21,00",23 %,FOLIA,,"4,83","35,10","56,10",,,,,,0,0
,FOLIA SAMSUNG S21,20009274,szt,"2,00","21,00","42,00",23 %,FOLIA,,"9,66","70,20","91,20",,,,,,0,0
,FOLIA SAMSUNG S21 PLUS,20009281,szt,"3,00","21,00","63,00",23 %,FOLIA,,"14,49","105,30","126,30",,,,,,0,0
,FOLIA SAMSUNG S21 ULTRA,20009113,szt,"1,00","21,00","21,00",23 %,FOLIA,,"4,83","35,10","56,10",,,,,,0,0
,FOLIA SAMSUNG S7 EDGE MONKEY,20000196,szt,"1,00","22,40","22,40",23 %,FOLIA,,"5,15","33,70","56,10",,,,,,0,0
,FOLIA SAMSUNG S8 PLUS,20011802,szt,"1,00","22,40","22,40",23 %,FOLIA,,"5,15","33,70","56,10",,,,,,0,0
,FOLIA SAMSUNG S9,20011277,szt,"1,00","21,00","21,00",23 %,FOLIA,,"4,83","35,10","56,10",,,,,,0,0
,FOLIA SAMSUNG XCOVER 4,20010997,szt,"1,00","7,00","7,00",23 %,FOLIA,,"1,61","24,71","31,71",,,,,,0,0
,FOLIA XIAOMI MI 10 PRO,20000530,szt,"2,00","22,40","44,80",23 %,FOLIA,,"10,30","67,40","89,80",,,,,,0,0
,GŁOŚNIK REMAX BEZPRZEWODOWY,20011024,szt,"1,00","37,90","37,90",23 %,Bezprzewodowe,,"8,72","23,08","60,98",,,,,,0,0
,GUMKI DO SLUCHAWEK,20009045,szt,"2,00","1,99","3,98",23 %,INNE,,"0,92","7,40","9,39",,,,,,0,0
,HF BASEUS ENCOK,20002671,szt,"1,00","33,21","33,21",23 %,HF,,"7,64","14,76","47,97",,,,,,0,0
,HF BLUETOOTH JABRA TALK 5,20008444,szt,"1,00","57,00","57,00",23 %,HF BLUETOOTH,,"13,11","20,24","77,24",,,,,,0,0
,HF HOCO DO IPHONE M1 PRO,20010355,szt,"1,00","9,50","9,50",23 %,HF,,"2,19","22,21","31,71",,,,,,0,0
,HF METAL BOX JACK,20007041,szt,"1,00","6,30","6,30",23 %,HF,,"1,45","22,16","28,46",,,,,,0,0
,HF OPPO MH135-3 USB C,20010362,szt,"1,00","23,00","23,00",23 %,HF,,"5,29","16,84","39,84",,,,,,0,0
,HF ORYG SAMSUNG EG900BW,20002763,szt,"1,00","11,50","11,50",23 %,HF ORYGINALNE,,"2,65","16,96","28,46",,,,,,0,0
,HF ORYG SAMSUNG EHS64,20008741,szt,"2,00","9,75","19,50",23 %,HF ORYGINALNE,,"4,48","37,42","47,17",,,,,,0,0
,HF REMAX CANDY 505,20002664,szt,"1,00","18,50","18,50",23 %,HF,,"4,26","9,96","28,46",,,,,,0,0
,HF REMAX RB-T33,20010102,szt,"1,00","23,96","23,96",23 %,HF BLUETOOTH,,"5,51","15,88","39,84",,,,,,0,0
,HF REMAX TWS-16,20008437,szt,"1,00","39,00","39,00",23 %,HF BLUETOOTH,,"8,97","21,98","60,98",,,,,,0,0
,HF TYP C HR-ME25,20011239,szt,"1,00","6,50","6,50",23 %,HF,,"1,50","21,96","28,46",,,,,,0,0
,HF TYP C JH-081,20011321,szt,"1,00","14,75","14,75",23 %,HF,,"3,39","16,96","31,71",,,,,,0,0
,HOCO ADAPTER TYP C TO USB A,20011383,szt,"2,00","6,90","13,80",23 %,ADAPTERY,,"3,18","17,10","24,00",,,,,,0,0
,HOCO SŁUCHAWKI BLUETOOTH ES57,20011499,szt,"1,00","81,00","81,00",23 %,HF BLUETOOTH,,"18,63","28,76","109,76",,,,,,0,0
,"INDUKCJA BASEUS WIRELESS CHARGER 5W, 10W",20005771,szt,"2,00","25,97","51,94",23 %,INDUKCYJNE,,"11,94","44,00","69,97",,,,,,0,0
,JELLY HUAWEI MATE 40 PRO,20009564,szt,"1,00","2,08","2,08",23 %,JELLY,,"0,48","21,50","23,58",,,,,,0,0
,JELLY HUAWEI P SMART 2021,20011413,szt,"1,00","2,70","2,70",23 %,JELLY,,"0,62","20,88","23,58",,,,,,0,0
,JELLY HUAWEI P SMART PRO/PLUS 2019,20003586,szt,"4,00","6,77","27,08",23 %,JELLY,,"6,24","67,24","74,01",,,,,,0,0
,JELLY HUAWEI P SMART Z,20004477,szt,"2,00","1,27","2,54",23 %,JELLY,,"0,58","44,62","45,89",,,,,,0,0
,JELLY HUAWEI P20 LITE,20003685,szt,"1,00","6,77","6,77",23 %,JELLY,,"1,56","16,81","23,58",,,,,,0,0
,JELLY HUAWEI P20 PRO,20003807,szt,"1,00","6,77","6,77",23 %,JELLY,,"1,56","16,81","23,58",,,,,,0,0
,JELLY HUAWEI P30,20004415,szt,"14,00","6,77","94,78",23 %,JELLY,,"21,84","235,34","242,11",,,,,,0,0
,JELLY HUAWEI P30 LITE,20004361,szt,"3,00","6,00","18,00",23 %,JELLY,,"4,14","52,74","58,74",,,,,,0,0
,JELLY HUAWEI P40,20003876,szt,"10,00","6,77","67,70",23 %,JELLY,,"15,60","168,10","174,87",,,,,,0,0
,JELLY HUAWEI P40 LITE,20003814,szt,"2,00","3,50","7,00",23 %,JELLY,,"1,62","40,16","43,66",,,,,,0,0
,JELLY HUAWEI P40 LITE E,20003913,szt,"12,00","6,77","81,24",23 %,JELLY,,"18,72","201,72","208,49",,,,,,0,0
,JELLY HUAWEI P40 PRO,20003852,szt,"4,00","7,80","31,20",23 %,JELLY,,"7,16","63,12","70,92",,,,,,0,0
,JELLY HUAWEI Y5 2018,20004002,szt,"7,00","6,77","47,39",23 %,JELLY,,"10,92","117,67","124,44",,,,,,0,0
,JELLY HUAWEI Y5 2019,20003722,szt,"11,00","6,77","74,47",23 %,JELLY,,"17,16","184,91","191,68",,,,,,0,0
,JELLY HUAWEI Y5P,20003593,szt,"5,00","6,77","33,85",23 %,JELLY,,"7,80","84,05","90,82",,,,,,0,0
,JELLY HUAWEI Y6 2018,20003944,szt,"2,00","6,77","13,54",23 %,JELLY,,"3,12","33,62","40,39",,,,,,0,0
,JELLY HUAWEI Y6 2019,20003630,szt,"3,00","6,77","20,31",23 %,JELLY,,"4,68","50,43","57,20",,,,,,0,0
,JELLY HUAWEI Y6P,20004033,szt,"4,00","6,77","27,08",23 %,JELLY,,"6,24","67,24","74,01",,,,,,0,0
,JELLY HUAWEI Y7 2019,20003609,szt,"10,00","6,77","67,70",23 %,JELLY,,"15,60","168,10","174,87",,,,,,0,0
,JELLY IPHONE 11,20002893,szt,"2,00","6,00","12,00",23 %,JELLY,,"2,76","35,16","41,16",,,,,,0,0
,JELLY IPHONE 11 PRO,20003524,szt,"10,00","4,49","44,90",23 %,JELLY,,"10,30","190,90","195,39",,,,,,0,0
,JELLY IPHONE 11 PRO MAX,20003043,szt,"1,00","6,77","6,77",23 %,JELLY,,"1,56","16,81","23,58",,,,,,0,0
,JELLY IPHONE 12 MINI,20007287,szt,"2,00","3,79","7,58",23 %,JELLY,,"1,74","39,58","43,37",,,,,,0,0
,"JELLY IPHONE 12, 12 PRO",20003173,szt,"2,00","4,05","8,10",23 %,JELLY,,"1,86","39,06","43,11",,,,,,0,0
,JELLY IPHONE 5/5S/SE,20003081,szt,"1,00","3,49","3,49",23 %,JELLY,,"0,80","20,09","23,58",,,,,,0,0
,JELLY IPHONE 6/6S,20002824,szt,"3,00","6,95","20,85",23 %,JELLY,,"4,80","49,89","56,84",,,,,,0,0
,JELLY IPHONE 6/6S PLUS,20002855,szt,"3,00","6,77","20,31",23 %,JELLY,,"4,68","50,43","57,20",,,,,,0,0
,JELLY IPHONE 7/8/2020SE,20002862,szt,"5,00","6,00","30,00",23 %,JELLY,,"6,90","87,90","93,90",,,,,,0,0
,"JELLY IPHONE 7PLUS, 8PLUS",20002930,szt,"2,00","10,90","21,80",23 %,JELLY,,"5,02","25,36","36,26",,,,,,0,0
,JELLY IPHONE X/XS,20002985,szt,"4,00","3,90","15,60",23 %,JELLY,,"3,60","78,72","82,62",,,,,,0,0
,JELLY IPHONE XR,20003470,szt,"8,00","1,70","13,60",23 %,JELLY,,"3,12","175,04","176,74",,,,,,0,0
,JELLY IPHONE XS MAX,20003098,szt,"4,00","0,99","3,96",23 %,JELLY,,"0,92","90,36","91,35",,,,,,0,0
,JELLY NOTE 20 ULTRA,20010003,szt,"2,00","8,00","16,00",23 %,JELLY,,"3,68","31,16","39,16",,,,,,0,0
,JELLY OPPO A15,20009984,szt,"1,00","2,08","2,08",23 %,JELLY,,"0,48","21,50","23,58",,,,,,0,0
,JELLY OPPO A52/A72,20011987,szt,"1,00","2,70","2,70",23 %,JELLY,,"0,62","20,88","23,58",,,,,,0,0
,JELLY OPPO A54,20011970,szt,"1,00","2,70","2,70",23 %,JELLY,,"0,62","20,88","23,58",,,,,,0,0
,JELLY OPPO RENO4,20011994,szt,"1,00","2,70","2,70",23 %,JELLY,,"0,62","20,88","23,58",,,,,,0,0
,JELLY ORG SAMSUNG S10 PLUS,20001087,szt,"1,00","87,33","87,33",23 %,ORYGINAŁ,,"20,09","33,81","121,14",,,,,,0,0
,JELLY ORYG HUAWEI P40,20003906,szt,"1,00","20,00","20,00",23 %,ORYGINAŁ,,"4,60","8,46","28,46",,,,,,0,0
,JELLY ORYG HUAWEI Y6 2019,20003647,szt,"2,00","15,00","30,00",23 %,ORYGINAŁ,,"6,90","26,92","41,92",,,,,,0,0
,JELLY P SMART 2019,20003555,szt,"6,00","6,77","40,62",23 %,JELLY,,"9,36","100,86","107,63",,,,,,0,0
,JELLY REALME 8,20011963,szt,"2,00","8,50","17,00",23 %,JELLY,,"3,92","30,16","38,66",,,,,,0,0
,JELLY SAMSUNG A02S,20009458,szt,"1,00","2,08","2,08",23 %,JELLY,,"0,48","18,25","20,33",,,,,,0,0
,JELLY SAMSUNG A03S,20011758,szt,"1,00","8,40","8,40",23 %,JELLY,,"1,93","15,18","23,58",,,,,,0,0
,JELLY SAMSUNG A10,20000950,szt,"10,00","6,77","67,70",23 %,JELLY,,"15,60","168,10","174,87",,,,,,0,0
,JELLY SAMSUNG A20E,20001391,szt,"2,00","4,05","8,10",23 %,JELLY,,"1,86","39,06","43,11",,,,,,0,0
,JELLY SAMSUNG A20S,20007690,szt,"1,00","2,80","2,80",23 %,JELLY,,"0,64","20,78","23,58",,,,,,0,0
,JELLY SAMSUNG A21,20007997,szt,"6,00","6,00","36,00",23 %,JELLY,,"8,28","105,48","111,48",,,,,,0,0
,JELLY SAMSUNG A21S,20000868,szt,"3,00","1,95","5,85",23 %,JELLY,,"1,35","64,89","66,84",,,,,,0,0
,JELLY SAMSUNG A22 4G,20011697,szt,"2,00","7,70","15,40",23 %,JELLY,,"3,54","41,52","49,22",,,,,,0,0
,JELLY SAMSUNG A22 5G,20010874,szt,"2,00","6,00","12,00",23 %,JELLY,,"2,76","35,16","41,16",,,,,,0,0
,JELLY SAMSUNG A30,20001384,szt,"14,00","6,77","94,78",23 %,JELLY,,"21,84","235,34","242,11",,,,,,0,0
,JELLY SAMSUNG A31,20001292,szt,"3,00","4,05","12,15",23 %,JELLY,,"2,79","58,59","62,64",,,,,,0,0
,JELLY SAMSUNG A32 5G,20009311,szt,"5,00","4,05","20,25",23 %,JELLY,,"4,65","97,65","101,70",,,,,,0,0
,JELLY SAMSUNG A40,20001490,szt,"4,00","3,90","15,60",23 %,JELLY,,"3,60","78,72","82,62",,,,,,0,0
,JELLY SAMSUNG A41,20000875,szt,"6,00","3,90","23,40",23 %,JELLY,,"5,40","118,08","121,98",,,,,,0,0
,JELLY SAMSUNG A42 5G,20010164,szt,"1,00","9,90","9,90",23 %,JELLY,,"2,28","13,68","23,58",,,,,,0,0
,JELLY SAMSUNG A51,20001537,szt,"1,00","4,05","4,05",23 %,JELLY,,"0,93","19,53","23,58",,,,,,0,0
,JELLY SAMSUNG A70,20001261,szt,"2,00","10,90","21,80",23 %,JELLY,,"5,02","25,36","36,26",,,,,,0,0
,JELLY SAMSUNG A71,20001186,szt,"4,00","3,90","15,60",23 %,JELLY,,"3,60","78,72","82,62",,,,,,0,0
,JELLY SAMSUNG J3 2017,20003401,szt,"2,00","6,77","13,54",23 %,JELLY,,"3,12","33,62","40,39",,,,,,0,0
,JELLY SAMSUNG J5 2017,20003456,szt,"1,00","6,77","6,77",23 %,JELLY,,"1,56","16,81","23,58",,,,,,0,0
,JELLY SAMSUNG J6 2018,20003449,szt,"4,00","6,77","27,08",23 %,JELLY,,"6,24","67,24","74,01",,,,,,0,0
,JELLY SAMSUNG J7 2017,20003371,szt,"3,00","6,77","20,31",23 %,JELLY,,"4,68","50,43","57,20",,,,,,0,0
,JELLY SAMSUNG M11 A11,20009168,szt,"2,00","1,95","3,90",23 %,JELLY,,"0,90","43,26","45,21",,,,,,0,0
,JELLY SAMSUNG M31,20003531,szt,"6,00","6,77","40,62",23 %,JELLY,,"9,36","100,86","107,63",,,,,,0,0
,JELLY SAMSUNG M31S,20008055,szt,"5,00","6,00","30,00",23 %,JELLY,,"6,90","87,90","93,90",,,,,,0,0
,JELLY SAMSUNG M51,20007362,szt,"1,00","2,08","2,08",23 %,JELLY,,"0,48","21,50","23,58",,,,,,0,0
,JELLY SAMSUNG NOTE 10,20001148,szt,"3,00","6,77","20,31",23 %,JELLY,,"4,68","50,43","57,20",,,,,,0,0
,JELLY SAMSUNG NOTE 10 PLUS,20001124,szt,"3,00","6,77","20,31",23 %,JELLY,,"4,68","50,43","57,20",,,,,,0,0
,JELLY SAMSUNG S10,20000981,szt,"17,00","3,49","59,33",23 %,JELLY,,"13,60","341,53","345,02",,,,,,0,0
,JELLY SAMSUNG S10 LITE,20001025,szt,"2,00","6,77","13,54",23 %,JELLY,,"3,12","33,62","40,39",,,,,,0,0
,JELLY SAMSUNG S10 PLUS,20001063,szt,"6,00","6,77","40,62",23 %,JELLY,,"9,36","100,86","107,63",,,,,,0,0
,JELLY SAMSUNG S10E,20001667,szt,"12,00","6,77","81,24",23 %,JELLY,,"18,72","201,72","208,49",,,,,,0,0
,JELLY SAMSUNG S20,20001568,szt,"3,00","6,00","18,00",23 %,JELLY,,"4,14","52,74","58,74",,,,,,0,0
,JELLY SAMSUNG S20 PLUS,20001575,szt,"1,00","6,95","6,95",23 %,JELLY,,"1,60","16,63","23,58",,,,,,0,0
,JELLY SAMSUNG S20 ULTRA,20001599,szt,"6,00","6,77","40,62",23 %,JELLY,,"9,36","100,86","107,63",,,,,,0,0
,"JELLY SAMSUNG S20FE, S20FE 5G",20008239,szt,"2,00","2,29","4,58",23 %,JELLY,,"1,06","42,58","44,87",,,,,,0,0
,JELLY SAMSUNG S21 PLUS,20009205,szt,"2,00","8,40","16,80",23 %,JELLY,,"3,86","30,36","38,76",,,,,,0,0
,JELLY SAMSUNG S9,20001346,szt,"3,00","6,77","20,31",23 %,JELLY,,"4,68","50,43","57,20",,,,,,0,0
,JELLY SAMSUNG S9 PLUS,20001353,szt,"3,00","6,77","20,31",23 %,JELLY,,"4,68","50,43","57,20",,,,,,0,0
,JELLY SAMSUNG XCOVER PRO,20008147,szt,"1,00","6,00","6,00",23 %,JELLY,,"1,38","17,58","23,58",,,,,,0,0
,JELLY SPECJAL CIEL BY CYRILL IPHONE 11 PRO MAX,20003036,szt,"1,00","10,90","10,90",23 %,JELLY SPECJAL,,"2,51","17,56","28,46",,,,,,0,0
,JELLY SPECJAL HUAWEI MATE 10 LITE,20004569,szt,"1,00","10,90","10,90",23 %,JELLY SPECJAL,,"2,51","17,56","28,46",,,,,,0,0
,JELLY SPECJAL HUAWEI MATE 20 LITE,20004521,szt,"1,00","10,90","10,90",23 %,JELLY SPECJAL,,"2,51","17,56","28,46",,,,,,0,0
,JELLY SPECJAL HUAWEI P SMART Z,20004484,szt,"1,00","10,90","10,90",23 %,JELLY SPECJAL,,"2,51","17,56","28,46",,,,,,0,0
,JELLY SPECJAL HUAWEI P30 LITE,20004385,szt,"1,00","8,00","8,00",23 %,JELLY SPECJAL,,"1,84","20,46","28,46",,,,,,0,0
,JELLY SPECJAL HUAWEI P30 PRO,20004293,szt,"1,00","8,00","8,00",23 %,JELLY SPECJAL,,"1,84","20,46","28,46",,,,,,0,0
,JELLY SPECJAL HUAWEI P40 LITE E,20003920,szt,"1,00","10,90","10,90",23 %,JELLY SPECJAL,,"2,51","17,56","28,46",,,,,,0,0
,JELLY SPECJAL HUAWEI Y5 2018,20004019,szt,"1,00","10,90","10,90",23 %,JELLY SPECJAL,,"2,51","17,56","28,46",,,,,,0,0
,JELLY SPECJAL HUAWEI Y5 2019,20003739,szt,"3,00","10,90","32,70",23 %,JELLY SPECJAL,,"7,53","52,68","63,58",,,,,,0,0
,JELLY SPECJAL HUAWEI Y7 2019,20003616,szt,"1,00","10,90","10,90",23 %,JELLY SPECJAL,,"2,51","17,56","28,46",,,,,,0,0
,JELLY SPECJAL IPHONE 11 PRO,20003517,szt,"2,00","8,00","16,00",23 %,JELLY SPECJAL,,"3,68","40,92","48,92",,,,,,0,0
,JELLY SPECJAL IPHONE 11 PRO MAX,20003074,szt,"9,00","10,90","98,10",23 %,JELLY SPECJAL,,"22,59","158,04","168,94",,,,,,0,0
,JELLY SPECJAL IPHONE 12 MINI,20007270,szt,"1,00","5,00","5,00",23 %,JELLY SPECJAL,,"1,15","23,46","28,46",,,,,,0,0
,JELLY SPECJAL IPHONE 12 PRO,20003142,szt,"3,00","8,00","24,00",23 %,JELLY SPECJAL,,"5,52","61,38","69,38",,,,,,0,0
,JELLY SPECJAL IPHONE 12 PRO MAX,20003159,szt,"2,00","5,00","10,00",23 %,JELLY SPECJAL,,"2,30","46,92","51,92",,,,,,0,0
,JELLY SPECJAL IPHONE 13 MINI,20011314,szt,"2,00","8,93","17,86",23 %,JELLY SPECJAL,,"4,10","39,06","47,99",,,,,,0,0
,JELLY SPECJAL IPHONE 13 PRO MAX,20011307,szt,"2,00","8,93","17,86",23 %,JELLY SPECJAL,,"4,10","39,06","47,99",,,,,,0,0
,JELLY SPECJAL IPHONE 6/6S,20002831,szt,"1,00","10,90","10,90",23 %,JELLY SPECJAL,,"2,51","17,56","28,46",,,,,,0,0
,JELLY SPECJAL IPHONE 7/8/2020SE,20007508,szt,"6,00","9,90","59,40",23 %,JELLY SPECJAL,,"13,68","111,36","121,26",,,,,,0,0
,JELLY SPECJAL IPHONE X/XS,20002992,szt,"3,00","10,90","32,70",23 %,JELLY SPECJAL,,"7,53","52,68","63,58",,,,,,0,0
,JELLY SPECJAL IPHONE XR,20003463,szt,"1,00","10,90","10,90",23 %,JELLY SPECJAL,,"2,51","17,56","28,46",,,,,,0,0
,JELLY SPECJAL IPHONE XS MAX,20003104,szt,"2,00","10,90","21,80",23 %,JELLY SPECJAL,,"5,02","35,12","46,02",,,,,,0,0
,JELLY SPECJAL SAMSUNG A02S,20009465,szt,"1,00","10,98","10,98",23 %,JELLY SPECJAL,,"2,53","17,48","28,46",,,,,,0,0
,JELLY SPECJAL SAMSUNG A10,20000967,szt,"3,00","10,90","32,70",23 %,JELLY SPECJAL,,"7,53","52,68","63,58",,,,,,0,0
,JELLY SPECJAL SAMSUNG A20E,20001407,szt,"4,00","10,90","43,60",23 %,JELLY SPECJAL,,"10,04","70,24","81,14",,,,,,0,0
,JELLY SPECJAL SAMSUNG A32,20011475,szt,"1,00","7,70","7,70",23 %,JELLY SPECJAL,,"1,77","20,76","28,46",,,,,,0,0
,JELLY SPECJAL SAMSUNG A32 5G,20011123,szt,"1,00","9,90","9,90",23 %,JELLY SPECJAL,,"2,28","18,56","28,46",,,,,,0,0
,JELLY SPECJAL SAMSUNG A40,20001469,szt,"3,00","8,00","24,00",23 %,JELLY SPECJAL,,"5,52","61,38","69,38",,,,,,0,0
,JELLY SPECJAL SAMSUNG A41,20000882,szt,"4,00","7,80","31,20",23 %,JELLY SPECJAL,,"7,16","82,64","90,44",,,,,,0,0
,JELLY SPECJAL SAMSUNG A50,20000929,szt,"3,00","6,70","20,10",23 %,JELLY SPECJAL,,"4,62","65,28","71,98",,,,,,0,0
,JELLY SPECJAL SAMSUNG A51,20001520,szt,"3,00","10,90","32,70",23 %,JELLY SPECJAL,,"7,53","52,68","63,58",,,,,,0,0
,JELLY SPECJAL SAMSUNG A52,20009366,szt,"1,00","8,20","8,20",23 %,JELLY SPECJAL,,"1,89","20,26","28,46",,,,,,0,0
,JELLY SPECJAL SAMSUNG A70,20001254,szt,"4,00","10,90","43,60",23 %,JELLY SPECJAL,,"10,04","70,24","81,14",,,,,,0,0
,JELLY SPECJAL SAMSUNG A72,20009625,szt,"4,00","10,90","43,60",23 %,JELLY SPECJAL,,"10,04","70,24","81,14",,,,,,0,0
,JELLY SPECJAL SAMSUNG M21,20001421,szt,"2,00","10,90","21,80",23 %,JELLY SPECJAL,,"5,02","35,12","46,02",,,,,,0,0
,JELLY SPECJAL SAMSUNG M31,20007713,szt,"3,00","7,90","23,70",23 %,JELLY,,"5,46","61,68","69,58",,,,,,0,0
,JELLY SPECJAL SAMSUNG M31S,20009175,szt,"2,00","8,00","16,00",23 %,JELLY SPECJAL,,"3,68","40,92","48,92",,,,,,0,0
,JELLY SPECJAL SAMSUNG M51,20007355,szt,"5,00","8,00","40,00",23 %,JELLY SPECJAL,,"9,20","102,30","110,30",,,,,,0,0
,JELLY SPECJAL SAMSUNG NOTE 10 PLUS,20001629,szt,"2,00","10,90","21,80",23 %,JELLY SPECJAL,,"5,02","35,12","46,02",,,,,,0,0
,JELLY SPECJAL SAMSUNG S10 PLUS,20001070,szt,"2,00","10,90","21,80",23 %,JELLY SPECJAL,,"5,02","35,12","46,02",,,,,,0,0
,JELLY SPECJAL SAMSUNG S10E,20001643,szt,"2,00","10,90","21,80",23 %,JELLY SPECJAL,,"5,02","35,12","46,02",,,,,,0,0
,JELLY SPECJAL SAMSUNG S20,20001551,szt,"3,00","8,00","24,00",23 %,JELLY SPECJAL,,"5,52","61,38","69,38",,,,,,0,0
,JELLY SPECJAL SAMSUNG S20 PLUS,20001582,szt,"7,00","8,00","56,00",23 %,JELLY SPECJAL,,"12,88","143,22","151,22",,,,,,0,0
,JELLY SPECJAL SAMSUNG S20FE,20007980,szt,"1,00","8,10","8,10",23 %,JELLY SPECJAL,,"1,86","20,36","28,46",,,,,,0,0
,JELLY SPECJAL SAMSUNG S21 PLUS,20008376,szt,"2,00","10,90","21,80",23 %,JELLY SPECJAL,,"5,02","35,12","46,02",,,,,,0,0
,JELLY SPECJAL SAMSUNG S21 ULTRA,20008383,szt,"1,00","10,90","10,90",23 %,JELLY SPECJAL,,"2,51","17,56","28,46",,,,,,0,0
,JELLY SPECJAL SAMSUNG S9,20001339,szt,"2,00","10,90","21,80",23 %,JELLY SPECJAL,,"5,02","35,12","46,02",,,,,,0,0
,JELLY SPECJAL XIAOMI REDMI 7,20008390,szt,"1,00","10,90","10,90",23 %,JELLY SPECJAL,,"2,51","17,56","28,46",,,,,,0,0
,JELLY SPECJAL XIAOMI REDMI 8A,20004118,szt,"2,00","10,90","21,80",23 %,JELLY SPECJAL,,"5,02","35,12","46,02",,,,,,0,0
,JELLY SPECJAL XIAOMI REDMI 9,20004330,szt,"4,00","8,00","32,00",23 %,JELLY SPECJAL,,"7,36","81,84","89,84",,,,,,0,0
,JELLY SPECJAL XIAOMI REDMI 9C,20007522,szt,"3,00","8,00","24,00",23 %,JELLY SPECJAL,,"5,52","61,38","69,38",,,,,,0,0
