,Nazwa,Kod,Jm,Ilość,Cena net.,Wartość net.,Stawka,Asortyment,Kategoria,Podatek,Marża net.,Cena sprz,Producent,Opis 1,Opis 2,Opis 3,Opis 4,Ilość kg/l,Il. w opak. zbiorczym
,SPIGEN IPHONE 13 PRO MAX,20011840,szt,"1,00","34,00","34,00",23 %,SPIGEN,,"7,82","18,85","52,85",,,,,,0,0
,SPIGEN IPHONE XS MAX,20006686,szt,"1,00","36,78","36,78",23 %,SPIGEN,,"8,46","16,07","52,85",,,,,,0,0
,SPIGEN SAMSUNG A40,20001506,szt,"2,00","28,00","56,00",23 %,SPIGEN,,"12,88","49,70","77,70",,,,,,0,0
,SPIGEN SAMSUNG A41,20006709,szt,"1,00","36,78","36,78",23 %,SPIGEN,,"8,46","16,07","52,85",,,,,,0,0
,SPIGEN SAMSUNG M21,20001445,szt,"1,00","36,78","36,78",23 %,SPIGEN,,"8,46","16,07","52,85",,,,,,0,0
,SPIGEN SAMSUNG S10,20000998,szt,"1,00","36,78","36,78",23 %,SPIGEN,,"8,46","16,07","52,85",,,,,,0,0
,SPIGEN SAMSUNG S20,20011512,szt,"1,00","31,90","31,90",23 %,SPIGEN,,"7,34","20,95","52,85",,,,,,0,0
,SPIGEN SAMSUNG S20 PLUS,20011529,szt,"1,00","31,90","31,90",23 %,SPIGEN,,"7,34","20,95","52,85",,,,,,0,0
,SPIGEN SAMSUNG S20 ULTRA,20001612,szt,"2,00","36,78","73,56",23 %,SPIGEN,,"16,92","32,14","68,92",,,,,,0,0
,SPIGEN SAMSUNG S21 ULTRA 5G,20010331,szt,"1,00","32,50","32,50",23 %,SPIGEN,,"7,48","20,35","52,85",,,,,,0,0
,SPIGEN SAMSUNG S9,20006679,szt,"3,00","36,78","110,34",23 %,SPIGEN,,"25,38","48,21","84,99",,,,,,0,0
,SPIGEN XIAOMI MI9 T,20004651,szt,"1,00","0,81","0,81",23 %,SPIGEN,,"0,19","52,04","52,85",,,,,,0,0
,SPIGEN XIAOMI REDMI NOTE 9PRO MAX/NOTE 9S/NOTE 9 PRO,20006716,szt,"1,00","36,78","36,78",23 %,SPIGEN,,"8,46","16,07","52,85",,,,,,0,0
,SZKŁO HAMMER ACTIVE,20000134,szt,"2,00","9,99","19,98",23 %,SZKŁO,,"4,60","53,20","63,19",,,,,,0,0
,SZKŁO HAMMER ACTIVE 2,20000141,szt,"3,00","9,99","29,97",23 %,SZKŁO,,"6,90","55,41","65,40",,,,,,0,0
,SZKŁO HAMMER ENERGY,20000158,szt,"2,00","9,99","19,98",23 %,SZKŁO,,"4,60","36,94","46,93",,,,,,0,0
,SZKŁO HAMMER EXPLORER,20008871,szt,"1,00","12,90","12,90",23 %,SZKŁO,,"2,97","15,56","28,46",,,,,,0,0
,SZKŁO HAMMER IRON 2,20000172,szt,"1,00","9,99","9,99",23 %,SZKŁO,,"2,30","26,60","36,59",,,,,,0,0
,SZKŁO HUAWEI MATE 10 LITE,20002190,szt,"1,00","1,29","1,29",23 %,SZKŁO,,"0,30","19,04","20,33",,,,,,0,0
,SZKŁO HUAWEI P SMART,20002282,szt,"1,00","1,29","1,29",23 %,SZKŁO,,"0,30","19,04","20,33",,,,,,0,0
,SZKŁO HUAWEI P SMART Z,20002268,szt,"5,00","1,59","7,95",23 %,SZKŁO,,"1,85","93,70","95,29",,,,,,0,0
,SZKŁO HUAWEI P10,20000776,szt,"3,00","1,59","4,77",23 %,SZKŁO,,"1,11","56,22","57,81",,,,,,0,0
,SZKŁO HUAWEI P20 PRO,20000691,szt,"5,00","0,90","4,50",23 %,SZKŁO,,"1,05","97,15","98,05",,,,,,0,0
,SZKŁO HUAWEI P40,20000615,szt,"3,00","1,79","5,37",23 %,SZKŁO,,"1,23","55,62","57,41",,,,,,0,0
,SZKŁO HUAWEI P9 LITE,20000783,szt,"3,00","1,59","4,77",23 %,SZKŁO,,"1,11","56,22","57,81",,,,,,0,0
,SZKŁO HUAWEI Y5 2019,20002183,szt,"20,00","1,29","25,80",23 %,SZKŁO,,"6,00","380,80","382,09",,,,,,0,0
,SZKŁO HUAWEI Y5 LITE 2018,20002299,szt,"5,00","1,59","7,95",23 %,SZKŁO,,"1,85","93,70","95,29",,,,,,0,0
,SZKŁO iPHONE 11 APARAT,20002046,szt,"3,00","4,03","12,09",23 %,SZKŁO,,"2,79","48,90","52,93",,,,,,0,0
,SZKŁO iPHONE 11 XR,20000837,szt,"1,00","1,40","1,40",23 %,SZKŁO,,"0,32","18,93","20,33",,,,,,0,0
,SZKŁO iPHONE 12 PRO MAX,20006907,szt,"3,00","1,29","3,87",23 %,SZKŁO,,"0,90","57,12","58,41",,,,,,0,0
,SZKŁO IPHONE 13 PRO MAX,20011918,szt,"2,00","1,49","2,98",23 %,SZKŁO,,"0,68","37,68","39,17",,,,,,0,0
,"SZKŁO IPHONE XS MAX, 11 PRO MAX",20010386,szt,"2,00","1,29","2,58",23 %,SZKŁO,,"0,60","38,08","39,37",,,,,,0,0
,SZKŁO MOTO E6,20010768,szt,"1,00","1,50","1,50",23 %,SZKŁO,,"0,35","18,83","20,33",,,,,,0,0
,SZKŁO MOTO G5 PLUS,20009687,szt,"1,00","1,29","1,29",23 %,SZKŁO,,"0,30","19,04","20,33",,,,,,0,0
,SZKŁO MOTO G8 POWER,20010836,szt,"1,00","1,29","1,29",23 %,SZKŁO,,"0,30","19,04","20,33",,,,,,0,0
,SZKŁO OPPO A72,20006914,szt,"1,00","1,29","1,29",23 %,SZKŁO,,"0,30","19,04","20,33",,,,,,0,0
,SZKŁO P40 LITE,20000592,szt,"1,00","1,29","1,29",23 %,SZKŁO,,"0,30","19,04","20,33",,,,,,0,0
,"SZKŁO SAMSUNG A21, A21S",20001841,szt,"1,00","1,29","1,29",23 %,SZKŁO,,"0,30","19,04","20,33",,,,,,0,0
,SZKŁO SAMSUNG A3 2017,20001735,szt,"6,00","1,59","9,54",23 %,SZKŁO,,"2,22","112,44","114,03",,,,,,0,0
,SZKŁO SAMSUNG A8 2018,20001742,szt,"4,00","1,59","6,36",23 %,SZKŁO,,"1,48","74,96","76,55",,,,,,0,0
,SZKŁO SAMSUNG A9 2018,20001803,szt,"10,00","1,59","15,90",23 %,SZKŁO,,"3,70","187,40","188,99",,,,,,0,0
,SZKŁO SAMSUNG GALAXY A20S,20007850,szt,"2,00","1,29","2,58",23 %,SZKŁO,,"0,60","38,08","39,37",,,,,,0,0
,SZKŁO SAMSUNG J3 2016,20000790,szt,"1,00","1,29","1,29",23 %,SZKŁO,,"0,30","19,04","20,33",,,,,,0,0
,SZKŁO SAMSUNG J5 2016,20000820,szt,"3,00","1,59","4,77",23 %,SZKŁO,,"1,11","56,22","57,81",,,,,,0,0
,SZKŁO SAMSUNG J7 2016,20001711,szt,"2,00","1,29","2,58",23 %,SZKŁO,,"0,60","38,08","39,37",,,,,,0,0
